Country,costIndex,monthlyIncome,incomeIndex,PPI,costIndexRank,monthlyIncomeRank,incomeIndexRank,PPIRank
Norway,90.8,8538,127.6,140.6,20,2,2,1
Bermuda,144.1,11220,167.7,116.4,1,1,1,2
Qatar,76.9,5839,87.3,113.5,31,10,10,3
Luxembourg,97.5,7364,110,112.9,16,4,4,4
Singapore,78,5883,87.9,112.7,30,9,9,5
Brunei,41.8,2914,43.5,104.2,63,32,32,6
United States of America,100,6692,100,100,13,6,6,7
Ireland,102.7,6699,100.1,97.4,11,5,5,8
Switzerland,126.1,7930,118.5,94,4,3,3,9
Sweden,82.4,5138,76.8,93.2,25,13,13,10
United Arab Emirates,72.1,4441,66.4,92.1,34,22,22,11
Hong Kong S.A.R.,75.5,4600,68.7,91.1,32,15,15,12
Netherlands,85.6,5056,75.6,88.3,23,14,14,13
Iceland,113,6653,99.4,88,7,7,7,14
Denmark,103.9,6113,91.3,87.9,10,8,8,15
Austria,80.9,4589,68.6,84.8,27,16,16,16
Germany,79.5,4498,67.2,84.6,29,19,19,17
Macao S.A.R,66.5,3662,54.7,82.3,40,27,27,18
Australia,96.4,5262,78.6,81.6,17,12,12,19
Belgium,83.7,4544,67.9,81.1,24,18,18,20
Canada,90.7,4494,67.2,74.1,21,20,20,21
Finland,90.2,4449,66.5,73.7,22,21,21,22
San Marino,81.9,3927,58.7,71.7,26,25,25,23
France,79.8,3756,56.1,70.4,28,26,26,24
Saudi Arabia,50.8,2391,35.7,70.4,50,35,35,24
Italy,71.8,3183,47.6,66.3,35,29,29,26
Israel,105.3,4585,68.5,65.1,8,17,17,27
Japan,74.7,3253,48.6,65,33,28,28,28
New Zealand,94.3,4051,60.5,64.2,18,23,23,29
United Kingdom,92.9,3983,59.5,64.1,19,24,24,30
South Korea,71.5,2958,44.2,61.8,36,31,31,31
Cayman Islands,140.1,5733,85.7,61.2,2,11,11,32
Spain,67.3,2682,40.1,59.6,38,33,33,33
Russia,33.7,1188,17.8,52.7,73,48,48,34
Czech Republic,64.6,2259,33.8,52.2,41,37,37,35
Portugal,63.5,2189,32.7,51.6,42,39,39,36
Poland,47.8,1644,24.6,51.4,56,44,44,37
Estonia,71,2270,33.9,47.8,37,36,36,38
Romania,43.6,1389,20.8,47.6,61,45,45,39
Turkey,30.8,971,14.5,47.1,89,55,55,40
Croatia,55,1723,25.7,46.8,47,42,42,41
Malaysia,32.2,998,14.9,46.4,81,54,54,42
Hungary,54.9,1652,24.7,44.9,48,43,43,43
New Caledonia,104.7,3114,46.5,44.5,9,30,30,44
Greece,63.2,1882,28.1,44.5,43,40,40,44
Bulgaria,43.3,1205,18,41.6,62,47,47,46
Libya,24.4,631,9.4,38.7,105,61,61,47
Kazakhstan,36.6,912,13.6,37.2,71,57,57,48
Bahamas,113.5,2666,39.8,35.1,6,34,34,49
Chile,58.5,1318,19.7,33.7,46,46,46,50
Belarus,29.3,648,9.7,33,95,60,60,51
China,51.5,1117,16.7,32.4,49,52,52,52
Montenegro,46.5,958,14.3,30.8,57,56,56,53
Thailand,32.2,598,8.9,27.8,81,63,63,54
Georgia,30.4,557,8.3,27.3,91,66,66,55
Suriname,24.5,447,6.7,27.3,104,71,71,55
Egypt,18.2,325,4.9,26.7,110,79,79,57
Azerbaijan,31.3,557,8.3,26.6,85,66,66,58
Costa Rica,67.2,1154,17.2,25.7,39,51,51,59
Republic of Serbia,49.1,836,12.5,25.5,53,58,58,60
Turks and Caicos Islands,131.7,2214,33.1,25.1,3,38,38,61
Mexico,60.7,1008,15.1,24.8,45,53,53,62
Colombia,36.9,573,8.6,23.2,69,64,64,63
Brazil,49.8,756,11.3,22.7,51,59,59,64
Ukraine,28.4,423,6.3,22.2,97,72,72,65
Barbados,123.2,1773,26.5,21.5,5,41,41,66
South Africa,41.2,563,8.4,20.4,64,65,65,67
Algeria,30.7,413,6.2,20.1,90,73,73,68
Mongolia,31.1,413,6.2,19.8,86,73,73,69
Albania,47.9,631,9.4,19.7,55,61,61,70
Indonesia,33.7,406,6.1,18,73,76,76,71
Ecuador,45.6,543,8.1,17.8,58,68,68,72
Palau,100,1188,17.8,17.7,13,48,48,73
Bhutan,25.3,299,4.5,17.7,102,85,85,73
Vietnam,29.8,348,5.2,17.4,92,78,78,75
Virgin Islands,101,1161,17.3,17.2,12,50,50,76
Iraq,40.5,467,7,17.2,66,69,69,76
Sri Lanka,27.5,295,4.4,16,98,86,86,78
Tunisia,29.6,314,4.7,15.8,94,81,81,79
Guatemala,44.4,465,6.9,15.7,60,70,70,80
Eswatini,33.5,322,4.8,14.3,77,80,80,81
Philippines,37.2,353,5.3,14.2,68,77,77,82
Bolivia,32.9,300,4.5,13.6,79,84,84,83
India,23.6,212,3.2,13.4,107,89,89,84
El Salvador,49,410,6.1,12.5,54,75,75,85
Bangladesh,28.5,238,3.6,12.5,96,88,88,85
Uzbekistan,25.6,197,2.9,11.5,101,90,90,87
Morocco,40.6,308,4.6,11.3,65,82,82,88
Laos,25.2,177,2.6,10.5,103,94,94,89
Zimbabwe,22.5,145,2.2,9.6,108,98,98,90
Pakistan,21.3,125,1.9,8.8,109,102,102,91
Mauritania,30.9,179,2.7,8.7,88,92,92,92
Ghana,33.8,195,2.9,8.6,72,91,91,93
Kenya,31.4,176,2.6,8.4,84,95,95,94
Nigeria,32.4,161,2.4,7.4,80,96,96,95
Honduras,49.4,242,3.6,7.3,52,87,87,96
Kyrgyzstan,31.1,142,2.1,6.8,86,100,100,97
Nepal,26.3,114,1.7,6.5,100,105,105,98
Myanmar,23.8,101,1.5,6.3,106,107,107,99
Cambodia,36.7,151,2.3,6.1,70,97,97,100
Cameroon,33.7,138,2.1,6.1,73,101,101,100
East Timor,44.6,178,2.7,6,59,93,93,102
Tajikistan,29.7,120,1.8,6,93,103,103,102
Tanzania,27.1,101,1.5,5.6,99,107,107,104
Benin,33.5,120,1.8,5.4,77,103,103,105
Zambia,33.6,110,1.6,4.9,76,106,106,106
Vanuatu,99.6,305,4.6,4.6,15,83,83,107
Lesotho,32.2,97,1.4,4.5,81,109,109,108
Ethiopia,38.1,94,1.4,3.7,67,110,110,109
Haiti,60.9,145,2.2,3.6,44,98,98,110
